Combination Number,Num Particles,Window Length (m),Animation Interval (ms),Window Attraction Strength,AC Repulsion Strength,Num Runs,n-times Elapsed Time (s),Average Escape Time (s)
32,30276,0.8,0.5,0.05,0,5,5.647947073,1.128819704
33,30276,0.8,0.5,0.05,0,5,5.092520714,1.017773914
34,30276,0.8,0.5,0.05,0,5,4.537524223,0.906371069
35,30276,0.8,0.5,0.05,0,5,6.490160942,1.296935129
36,30276,0.8,0.5,0.05,0,5,6.37916708,1.275096703
37,30276,0.8,0.5,0.05,0,5,5.444477081,1.088014841
38,30276,0.8,0.5,0.05,0,5,4.962217808,0.991696405
39,30276,0.8,0.5,0.05,0,5,4.3388834,0.866965389
40,30276,0.8,0.5,0.05,0,5,5.373901129,1.073830605
41,30276,0.8,0.5,0.05,0,5,5.116375923,1.022836971
42,30276,0.8,0.5,0.05,0,5,4.616538286,0.922601795
43,30276,0.8,0.5,0.05,0,5,6.624212742,1.323739386
44,30276,0.8,0.5,0.05,0,5,5.730264187,1.145382166
45,30276,0.8,0.5,0.05,0,5,4.922398806,0.984009743
46,30276,0.8,0.5,0.05,0,5,8.13374114,1.626008177
47,30276,0.8,0.5,0.05,0,5,6.944491863,1.387813044
48,30276,0.8,0.5,0.05,0,5,7.21881032,1.443330717
49,30276,0.8,0.5,0.05,0,5,7.006817102,1.400275469
50,30276,0.8,0.5,0.05,0,5,10.50316143,2.099190855
51,30276,0.8,0.5,0.05,0,5,7.00406146,1.400169754
52,30276,0.8,0.5,0.05,0,5,5.766691685,1.153072548
53,30276,0.8,0.5,0.05,0,5,7.951325893,1.589425325
54,30276,0.8,0.5,0.05,0,5,7.652002811,1.529786968
55,30276,0.8,0.5,0.05,0,5,7.024277687,1.404176903
56,30276,0.8,0.5,0.05,0,5,5.860723257,1.171215963
57,30276,0.8,0.5,0.05,0,5,7.347939253,1.468522024
58,30276,0.8,0.5,0.05,0,5,7.729578495,1.545279026
59,30276,0.8,0.5,0.05,0,5,7.082708836,1.415832901
60,30276,0.8,0.5,0.05,0,5,7.738167524,1.547018003
61,30276,0.8,0.5,0.05,0,5,7.387417316,1.477020216
62,30276,0.8,0.5,0.05,0,5,6.391454935,1.277453041
63,30276,0.8,0.5,0.05,0,5,5.840510607,1.167497206
1,30276,1,0.5,0.05,0,5,6.181658745,1.235565567
2,30276,1,0.5,0.05,0,5,5.876872301,1.174542427
3,30276,1,0.5,0.05,0,5,5.466650486,1.092498207
4,30276,1,0.5,0.05,0,5,7.812854052,1.562047052
5,30276,1,0.5,0.05,0,5,6.297860384,1.259160137
6,30276,1,0.5,0.05,0,5,6.523166656,1.303957796
7,30276,1,0.5,0.05,0,5,5.125743151,1.024670029
8,30276,1,0.5,0.05,0,5,4.962712288,0.991790438
9,30276,1,0.5,0.05,0,5,8.49816823,1.697417879
10,30276,1,0.5,0.05,0,5,6.580771923,1.314547443
11,30276,1,0.5,0.05,0,5,5.49639535,1.098714685
12,30276,1,0.5,0.05,0,5,5.015154123,1.002394247
13,30276,1,0.5,0.05,0,5,7.17106986,1.433813953
14,30276,1,0.5,0.05,0,5,5.777375698,1.154654741
15,30276,1,0.5,0.05,0,5,5.010863543,1.001506519
16,30276,1,0.5,0.05,0,5,6.557588339,1.311003065
17,30276,1,0.5,0.05,0,5,5.654689074,1.13050766
18,30276,1,0.5,0.05,0,5,5.351466894,1.069777822
19,30276,1,0.5,0.05,0,5,8.13353157,1.626178217
20,30276,1,0.5,0.05,0,5,7.636117935,1.526562071
21,30276,1,0.5,0.05,0,5,6.658967018,1.331087875
22,30276,1,0.5,0.05,0,5,6.429531574,1.284962559
23,30276,1,0.5,0.05,0,5,14.80743098,2.959346056
24,30276,1,0.5,0.05,0,5,10.44383335,2.086239815
25,30276,1,0.5,0.05,0,5,7.618854523,1.523120403
26,30276,1,0.5,0.05,0,5,6.414774895,1.282226372
27,30276,1,0.5,0.05,0,5,5.702526093,1.140007162
28,30276,1,0.5,0.05,0,5,4.768138647,0.952759314
29,30276,1,0.5,0.05,0,5,6.437180519,1.286544228
30,30276,1,0.5,0.05,0,5,5.058885813,1.010898781
31,30276,1,0.5,0.05,0,5,9.396152258,1.878167439
32,30276,1,0.5,0.05,0,5,8.956312418,1.790297556
33,30276,1,0.5,0.05,0,5,7.234989882,1.44596014
34,30276,1,0.5,0.05,0,5,5.288125992,1.0570261
35,30276,1,0.5,0.05,0,5,7.54227376,1.507876635
36,30276,1,0.5,0.05,0,5,7.5797019,1.514854765
37,30276,1,0.5,0.05,0,5,6.602504969,1.319993639
38,30276,1,0.5,0.05,0,5,5.429819107,1.085224009
39,30276,1,0.5,0.05,0,5,5.029044151,1.004991293
40,30276,1,0.5,0.05,0,5,6.384290218,1.276744699
41,30276,1,0.5,0.05,0,5,5.625802517,1.124390364
42,30276,1,0.5,0.05,0,5,5.127878428,1.024901819
43,30276,1,0.5,0.05,0,5,6.342477083,1.267609692
44,30276,1,0.5,0.05,0,5,7.677758694,1.534336424
45,30276,1,0.5,0.05,0,5,5.111582518,1.022115421
46,30276,1,0.5,0.05,0,5,7.180244207,1.435440016
47,30276,1,0.5,0.05,0,5,7.763721943,1.552315807
48,30276,1,0.5,0.05,0,5,5.959007263,1.191338491
49,30276,1,0.5,0.05,0,5,5.134642839,1.026147556
50,30276,1,0.5,0.05,0,5,6.382712126,1.275963354
51,30276,1,0.5,0.05,0,5,5.906517744,1.180980253
52,30276,1,0.5,0.05,0,5,6.024750233,1.204120684
53,30276,1,0.5,0.05,0,5,7.062463522,1.411980581
54,30276,1,0.5,0.05,0,5,7.02349782,1.403940773
55,30276,1,0.5,0.05,0,5,5.426160097,1.084600973
56,30276,1,0.5,0.05,0,5,4.912953615,0.981824017
57,30276,1,0.5,0.05,0,5,6.348850727,1.26853981
58,30276,1,0.5,0.05,0,5,5.846986294,1.168428421
59,30276,1,0.5,0.05,0,5,5.420291901,1.083160591
60,30276,1,0.5,0.05,0,5,9.463878632,1.891816664
61,30276,1,0.5,0.05,0,5,7.371177435,1.473059845
62,30276,1,0.5,0.05,0,5,6.378727198,1.274654007
63,30276,1,0.5,0.05,0,5,5.47742939,1.094401407
