Combination Number,Total Elapsed Time (s),Average Escape Time (s)
1,1.0654661655426025,0.3526012102762858
2,0.8069977760314941,0.26899925867716473
3,0.8433537483215332,0.2805949846903483
4,0.7874255180358887,0.2621326446533203
5,1.1299564838409424,0.3757980664571126
