Combination Number,Total Elapsed Time (s),Average Escape Time (s)
1,2.722683906555176,0.9066950480143229
2,2.9161386489868164,0.9717083772023519
3,2.7961766719818115,0.9319676558176676
4,2.4322574138641357,0.8099632263183594
5,3.1227099895477295,1.0408236980438232
